invoice_id,customer_id,invoice_amount,invoice_date,due_date,delay_days,payment_date,industry,region,past_avg_delay,total_outstanding,num_invoices,late_flag
INV00065,1046,72997,2023-08-16,2023-09-15,8,2023-09-23,SaaS,UK,11,31352,10,1
INV00066,1034,29205,2023-10-14,2023-11-13,9,2023-11-22,Healthcare,US,8,66924,37,1
INV00067,1077,89887,2023-10-30,2023-11-29,8,2023-12-07,SaaS,US,0,184478,13,1
INV00068,1080,82542,2023-02-03,2023-03-05,19,2023-03-24,Retail,UK,12,82132,17,1
INV00069,1035,45149,2023-01-02,2023-02-01,5,2023-02-06,Retail,UK,7,134963,5,1
INV00070,1049,50112,2023-12-28,2024-01-27,10,2024-02-06,SaaS,India,1,60552,21,1
INV00071,1003,11940,2023-07-14,2023-08-13,3,2023-08-16,Healthcare,India,5,151616,39,1
INV00072,1001,60010,2023-04-04,2023-05-04,9,2023-05-13,Retail,UK,4,64418,20,1
INV00073,1005,77794,2023-11-24,2023-12-24,12,2024-01-05,Healthcare,US,5,193245,7,1
INV00074,1053,25485,2023-11-04,2023-12-04,11,2023-12-15,Manufacturing,Germany,2,137157,15,1
INV00075,1003,90299,2023-05-15,2023-06-14,11,2023-06-25,Retail,Germany,5,101225,15,1
INV00076,1053,2067,2023-07-23,2023-08-22,5,2023-08-27,Healthcare,Germany,2,41497,23,1
INV00077,1092,21607,2023-09-07,2023-10-07,13,2023-10-20,Healthcare,India,11,91248,33,1
INV00078,1062,62597,2023-05-27,2023-06-26,15,2023-07-11,Manufacturing,UK,6,137559,44,1
INV00079,1017,75554,2023-12-12,2024-01-11,8,2024-01-19,Healthcare,US,11,79076,2,1
INV00080,1089,49521,2023-12-14,2024-01-13,8,2024-01-21,SaaS,India,2,161061,32,1
INV00081,1043,16187,2023-09-11,2023-10-11,-2,2023-10-09,Retail,UK,0,86491,15,0
INV00082,1033,4985,2023-11-30,2023-12-30,8,2024-01-07,SaaS,UK,1,133686,7,1
INV00083,1073,44052,2023-06-25,2023-07-25,6,2023-07-31,Manufacturing,Germany,3,97565,9,1
INV00084,1061,20563,2023-05-05,2023-06-04,2,2023-06-06,SaaS,Germany,3,114948,28,1
INV00085,1099,48322,2023-09-08,2023-10-08,6,2023-10-14,Healthcare,US,8,45105,22,1
INV00086,1013,62245,2023-05-11,2023-06-10,15,2023-06-25,Manufacturing,US,13,51369,3,1
INV00087,1094,52514,2023-02-19,2023-03-21,13,2023-04-03,Manufacturing,Germany,9,12102,42,1
INV00088,1047,19608,2023-04-03,2023-05-03,12,2023-05-15,SaaS,Germany,8,130443,2,1
INV00089,1014,68262,2023-11-06,2023-12-06,16,2023-12-22,Manufacturing,UK,9,71545,22,1
INV00090,1071,93118,2023-08-08,2023-09-07,4,2023-09-11,SaaS,US,6,156838,25,1
INV00091,1077,72327,2023-11-30,2023-12-30,2,2024-01-01,SaaS,UK,0,68794,25,1
INV00092,1086,58225,2023-11-30,2023-12-30,20,2024-01-19,SaaS,US,12,93625,32,1
INV00093,1061,74994,2023-01-20,2023-02-19,4,2023-02-23,Manufacturing,US,3,8079,44,1
INV00094,1039,18221,2023-07-24,2023-08-23,8,2023-08-31,Manufacturing,India,5,17167,7,1
INV00095,1084,49506,2023-04-01,2023-05-01,3,2023-05-04,Retail,Germany,3,72722,31,1
INV00096,1079,21968,2023-12-21,2024-01-20,14,2024-02-03,SaaS,India,6,49279,37,1
INV00097,1081,83606,2023-06-22,2023-07-22,10,2023-08-01,SaaS,US,1,14398,4,1
INV00098,1052,28937,2023-07-08,2023-08-07,2,2023-08-09,SaaS,UK,4,66140,33,1
INV00099,1023,63435,2023-11-08,2023-12-08,11,2023-12-19,SaaS,US,5,140590,15,1
INV00100,1025,50508,2023-01-02,2023-02-01,8,2023-02-09,SaaS,India,9,181524,9,1
INV00101,1088,42831,2023-12-27,2024-01-26,18,2024-02-13,SaaS,Germany,13,54456,6,1
INV00102,1059,43933,2023-06-17,2023-07-17,20,2023-08-06,SaaS,UK,14,190362,46,1
INV00103,1040,48307,2023-01-24,2023-02-23,17,2023-03-12,Retail,US,13,41222,31,1
INV00104,1028,49340,2023-12-31,2024-01-30,17,2024-02-16,Retail,US,8,11082,34,1
INV00105,1014,87338,2023-03-09,2023-04-08,14,2023-04-22,Healthcare,Germany,9,104154,44,1
INV00106,1044,44601,2023-07-13,2023-08-12,15,2023-08-27,SaaS,US,14,158183,38,1
INV00107,1064,76956,2023-03-25,2023-04-24,12,2023-05-06,SaaS,US,3,95606,13,1
INV00108,1088,73178,2023-07-26,2023-08-25,14,2023-09-08,Retail,Germany,13,24939,36,1
INV00109,1070,86311,2023-02-18,2023-03-20,12,2023-04-01,Retail,India,9,187898,32,1
INV00110,1008,29754,2023-02-01,2023-03-03,9,2023-03-12,SaaS,India,6,57582,22,1
INV00111,1087,44310,2023-11-13,2023-12-13,7,2023-12-20,SaaS,India,10,53819,48,1
INV00112,1000,70893,2023-06-19,2023-07-19,16,2023-08-04,Retail,India,8,24533,29,1
INV00113,1007,87799,2023-05-09,2023-06-08,3,2023-06-11,Retail,UK,2,183502,11,1
INV00114,1087,49367,2023-04-12,2023-05-12,14,2023-05-26,Healthcare,UK,10,139419,6,1
INV00115,1062,14201,2023-02-04,2023-03-06,9,2023-03-15,Healthcare,Germany,6,184551,5,1
INV00116,1010,3739,2023-11-03,2023-12-03,20,2023-12-23,SaaS,Germany,13,8949,1,1
INV00117,1080,14231,2023-07-18,2023-08-17,10,2023-08-27,Retail,Germany,12,100413,39,1
INV00118,1007,43495,2023-10-28,2023-11-27,6,2023-12-03,Healthcare,UK,2,152960,10,1
INV00119,1034,22168,2023-03-18,2023-04-17,6,2023-04-23,SaaS,US,8,99814,10,1
INV00120,1034,33624,2023-11-17,2023-12-17,14,2023-12-31,Healthcare,UK,8,166156,49,1
INV00121,1032,11635,2023-01-14,2023-02-13,11,2023-02-24,Healthcare,India,14,41174,24,1
INV00122,1004,10964,2023-12-15,2024-01-14,8,2024-01-22,Healthcare,India,1,135027,7,1
INV00123,1040,28785,2023-05-11,2023-06-10,20,2023-06-30,Manufacturing,US,13,188741,22,1
INV00124,1027,96046,2023-08-26,2023-09-25,13,2023-10-08,SaaS,Germany,6,48664,21,1
INV00125,1006,83797,2023-10-07,2023-11-06,2,2023-11-08,Healthcare,UK,3,102527,22,1
INV00126,1072,85790,2023-03-06,2023-04-05,2,2023-04-07,SaaS,US,3,115260,33,1
INV00127,1071,77928,2023-05-18,2023-06-17,8,2023-06-25,SaaS,US,6,52634,44,1
INV00128,1011,13336,2023-09-26,2023-10-26,18,2023-11-13,Retail,UK,10,75793,25,1
INV00129,1033,78475,2023-08-16,2023-09-15,0,2023-09-15,SaaS,US,1,129641,31,0
INV00130,1032,28412,2023-07-20,2023-08-19,17,2023-09-05,Healthcare,Germany,14,105991,49,1
INV00131,1047,83212,2023-05-22,2023-06-21,12,2023-07-03,SaaS,UK,8,126998,16,1
INV00132,1022,76379,2023-04-10,2023-05-10,9,2023-05-19,Retail,UK,10,43291,15,1
INV00133,1061,46591,2023-05-18,2023-06-17,8,2023-06-25,Manufacturing,US,3,145982,29,1
INV00134,1087,62750,2023-06-17,2023-07-17,7,2023-07-24,Manufacturing,Germany,10,35604,19,1
INV00135,1036,91648,2023-04-09,2023-05-09,3,2023-05-12,Retail,Germany,4,156955,17,1
INV00136,1098,97134,2023-11-07,2023-12-07,15,2023-12-22,Healthcare,India,7,98738,26,1
INV00137,1043,36454,2023-11-15,2023-12-15,-1,2023-12-14,Healthcare,UK,0,58726,36,0
INV00138,1085,99537,2023-11-23,2023-12-23,13,2024-01-05,Healthcare,India,10,192089,36,1
INV00139,1090,63672,2023-12-21,2024-01-20,19,2024-02-08,SaaS,Germany,12,94647,35,1
INV00140,1034,28228,2023-03-07,2023-04-06,15,2023-04-21,Manufacturing,Germany,8,173155,40,1
INV00141,1064,15429,2023-12-01,2023-12-31,4,2024-01-04,Healthcare,India,3,105718,23,1
INV00142,1098,85294,2023-11-25,2023-12-25,7,2024-01-01,Manufacturing,UK,7,190539,9,1
INV00143,1046,68808,2023-02-16,2023-03-18,9,2023-03-27,Retail,India,11,149343,34,1
INV00144,1077,83886,2023-12-03,2024-01-02,3,2024-01-05,Manufacturing,Germany,0,190003,18,1
INV00145,1002,54015,2023-08-19,2023-09-18,12,2023-09-30,Healthcare,Germany,13,69456,16,1
INV00146,1000,89074,2023-11-04,2023-12-04,11,2023-12-15,Manufacturing,US,8,43574,32,1
INV00147,1004,69936,2023-05-26,2023-06-25,7,2023-07-02,Retail,US,1,56121,28,1
INV00148,1089,81907,2023-07-26,2023-08-25,10,2023-09-04,Manufacturing,India,2,32679,32,1
INV00149,1013,58378,2023-05-26,2023-06-25,16,2023-07-11,SaaS,US,13,81794,18,1
INV00150,1026,38310,2023-06-01,2023-07-01,20,2023-07-21,Retail,Germany,13,6759,44,1
INV00151,1008,84683,2023-10-06,2023-11-05,4,2023-11-09,SaaS,UK,6,60718,34,1
INV00152,1078,69827,2023-05-20,2023-06-19,10,2023-06-29,SaaS,UK,7,164700,29,1
INV00153,1014,36256,2023-05-31,2023-06-30,11,2023-07-11,Healthcare,India,9,165747,21,1
INV00154,1089,77428,2023-01-21,2023-02-20,8,2023-02-28,Healthcare,US,2,154737,1,1
INV00155,1041,39889,2023-09-11,2023-10-11,9,2023-10-20,Retail,India,9,67268,16,1
INV00156,1076,52428,2023-03-05,2023-04-04,20,2023-04-24,Healthcare,US,13,108533,49,1
INV00157,1050,38207,2023-08-06,2023-09-05,10,2023-09-15,Manufacturing,UK,9,147298,33,1
INV00158,1062,51255,2023-03-13,2023-04-12,14,2023-04-26,Retail,US,6,184054,21,1
INV00159,1095,92531,2023-06-11,2023-07-11,17,2023-07-28,Healthcare,US,13,153579,35,1
INV00160,1051,6409,2023-05-10,2023-06-09,3,2023-06-12,Healthcare,India,2,76367,27,1
INV00161,1095,43438,2023-03-10,2023-04-09,12,2023-04-21,Manufacturing,UK,13,137306,20,1
INV00162,1003,96359,2023-08-13,2023-09-12,3,2023-09-15,SaaS,US,5,192100,31,1
INV00163,1093,8869,2023-09-03,2023-10-03,5,2023-10-08,Manufacturing,UK,3,110874,16,1
INV00164,1022,57862,2023-03-09,2023-04-08,12,2023-04-20,SaaS,US,10,142028,14,1
INV00165,1014,88937,2023-04-17,2023-05-17,12,2023-05-29,Healthcare,UK,9,185898,48,1
INV00166,1042,26958,2023-04-19,2023-05-19,16,2023-06-04,SaaS,US,12,154761,32,1
INV00167,1028,77302,2023-11-24,2023-12-24,8,2024-01-01,SaaS,Germany,8,26481,41,1
INV00168,1035,20768,2023-04-13,2023-05-13,15,2023-05-28,Healthcare,UK,7,90141,32,1
INV00169,1012,97330,2023-05-21,2023-06-20,7,2023-06-27,Retail,Germany,3,140266,2,1
INV00170,1031,27145,2023-03-06,2023-04-05,22,2023-04-27,Manufacturing,Germany,14,164442,45,1
INV00171,1070,76622,2023-05-14,2023-06-13,6,2023-06-19,Healthcare,Germany,9,15251,22,1
INV00172,1058,27442,2023-07-18,2023-08-17,8,2023-08-25,Manufacturing,US,6,68356,37,1
INV00173,1085,82948,2023-06-04,2023-07-04,12,2023-07-16,Manufacturing,UK,10,88169,17,1
INV00174,1027,26596,2023-03-20,2023-04-19,5,2023-04-24,SaaS,US,6,9029,32,1
INV00175,1065,76791,2023-09-07,2023-10-07,12,2023-10-19,Healthcare,US,7,73396,38,1
INV00176,1041,43406,2023-03-28,2023-04-27,17,2023-05-14,Retail,UK,9,74049,17,1
INV00177,1044,41524,2023-10-31,2023-11-30,22,2023-12-22,Manufacturing,India,14,172059,34,1
INV00178,1061,24332,2023-08-29,2023-09-28,4,2023-10-02,Manufacturing,US,3,46138,7,1
INV00179,1056,16764,2023-03-29,2023-04-28,-1,2023-04-27,Retail,Germany,2,75466,29,0
INV00180,1005,28563,2023-11-20,2023-12-20,8,2023-12-28,Manufacturing,US,5,140749,17,1
INV00181,1027,88675,2023-06-21,2023-07-21,12,2023-08-02,Healthcare,India,6,10472,24,1
INV00182,1027,37370,2023-12-23,2024-01-22,5,2024-01-27,Retail,Germany,6,175548,8,1
INV00183,1043,6062,2023-01-17,2023-02-16,6,2023-02-22,Healthcare,US,0,149800,23,1
INV00184,1083,45645,2023-08-11,2023-09-10,20,2023-09-30,Retail,UK,14,160286,33,1
INV00185,1029,8244,2023-10-21,2023-11-20,13,2023-12-03,Manufacturing,Germany,6,182721,29,1
INV00186,1061,7372,2023-11-06,2023-12-06,3,2023-12-09,Retail,India,3,40297,19,1
INV00187,1074,86501,2023-08-07,2023-09-06,14,2023-09-20,Healthcare,US,12,192694,5,1
INV00188,1091,65471,2023-08-22,2023-09-21,18,2023-10-09,Retail,UK,14,133298,37,1
INV00189,1088,17956,2023-09-05,2023-10-05,22,2023-10-27,Manufacturing,Germany,13,96068,23,1
INV00190,1061,41473,2023-02-21,2023-03-23,3,2023-03-26,SaaS,Germany,3,73009,26,1
INV00191,1096,14894,2023-01-15,2023-02-14,14,2023-02-28,Manufacturing,UK,6,104389,24,1
INV00192,1000,99918,2023-11-20,2023-12-20,13,2024-01-02,Manufacturing,India,8,110666,21,1
INV00193,1026,70586,2023-04-22,2023-05-22,17,2023-06-08,SaaS,Germany,13,140734,33,1
INV00194,1061,17709,2023-07-03,2023-08-02,9,2023-08-11,Retail,India,3,106738,26,1
INV00195,1076,82258,2023-12-26,2024-01-25,19,2024-02-13,Manufacturing,India,13,176568,10,1
INV00196,1002,16210,2023-01-07,2023-02-06,15,2023-02-21,SaaS,UK,13,138737,42,1
INV00197,1069,50510,2023-02-20,2023-03-22,10,2023-04-01,Healthcare,Germany,7,81720,29,1
INV00198,1071,39674,2023-11-10,2023-12-10,10,2023-12-20,SaaS,US,6,182014,35,1
INV00199,1026,18733,2023-08-29,2023-09-28,11,2023-10-09,Manufacturing,UK,13,144547,28,1
INV00200,1008,21080,2023-09-02,2023-10-02,7,2023-10-09,Healthcare,UK,6,42239,12,1
INV00201,1061,54412,2023-12-31,2024-01-30,12,2024-02-11,Manufacturing,India,3,158975,44,1
INV00202,1036,59971,2023-07-05,2023-08-04,7,2023-08-11,SaaS,US,4,197206,7,1
INV00203,1096,40709,2023-10-14,2023-11-13,10,2023-11-23,Healthcare,UK,6,153243,16,1
INV00204,1050,60846,2023-04-02,2023-05-02,10,2023-05-12,Manufacturing,India,9,17660,20,1
INV00205,1043,66480,2023-04-16,2023-05-16,-1,2023-05-15,SaaS,Germany,0,63200,29,0
INV00206,1023,53960,2023-01-13,2023-02-12,7,2023-02-19,Healthcare,India,5,178730,35,1
INV00207,1078,42152,2023-05-26,2023-06-25,8,2023-07-03,Manufacturing,US,7,134267,28,1
INV00208,1058,28250,2023-04-29,2023-05-29,10,2023-06-08,SaaS,US,6,28289,7,1
INV00209,1031,86765,2023-07-22,2023-08-21,19,2023-09-09,Manufacturing,India,14,144060,22,1
INV00210,1095,49137,2023-05-21,2023-06-20,18,2023-07-08,Manufacturing,Germany,13,44974,14,1
INV00211,1087,83011,2023-04-25,2023-05-25,18,2023-06-12,Manufacturing,US,10,168124,36,1
INV00212,1051,47412,2023-06-01,2023-07-01,10,2023-07-11,Retail,US,2,105437,10,1
INV00213,1061,44876,2023-02-26,2023-03-28,5,2023-04-02,Manufacturing,Germany,3,50154,2,1
INV00214,1057,95547,2023-06-06,2023-07-06,1,2023-07-07,Healthcare,UK,1,7421,22,1
INV00215,1051,74664,2023-11-06,2023-12-06,2,2023-12-08,SaaS,US,2,65149,16,1
INV00216,1011,51227,2023-05-13,2023-06-12,15,2023-06-27,SaaS,India,10,74467,35,1
INV00217,1038,33450,2023-06-12,2023-07-12,11,2023-07-23,Retail,Germany,11,177656,47,1
INV00218,1001,85433,2023-10-02,2023-11-01,8,2023-11-09,Retail,US,4,132058,40,1
INV00219,1002,74704,2023-07-02,2023-08-01,18,2023-08-19,Retail,UK,13,31176,48,1
INV00220,1055,7861,2023-03-18,2023-04-17,8,2023-04-25,Manufacturing,US,7,127880,11,1
INV00221,1080,62914,2023-11-21,2023-12-21,21,2024-01-11,Manufacturing,UK,12,52540,43,1
INV00222,1058,64888,2023-02-13,2023-03-15,8,2023-03-23,Healthcare,US,6,181377,43,1
INV00223,1001,80286,2023-07-25,2023-08-24,3,2023-08-27,SaaS,US,4,173345,33,1
INV00224,1001,62293,2023-02-07,2023-03-09,12,2023-03-21,SaaS,India,4,178441,34,1
INV00225,1091,83524,2023-11-14,2023-12-14,15,2023-12-29,Manufacturing,Germany,14,49827,33,1
INV00226,1053,69515,2023-01-22,2023-02-21,3,2023-02-24,SaaS,Germany,2,99697,19,1
INV00227,1086,24524,2023-03-14,2023-04-13,10,2023-04-23,Manufacturing,India,12,134262,20,1
INV00228,1095,8065,2023-08-29,2023-09-28,19,2023-10-17,Retail,Germany,13,48930,10,1
INV00229,1096,38684,2023-06-03,2023-07-03,8,2023-07-11,Manufacturing,Germany,6,126211,19,1
INV00230,1000,89720,2023-08-25,2023-09-24,13,2023-10-07,Healthcare,Germany,8,71334,43,1
INV00231,1018,34365,2023-01-05,2023-02-04,17,2023-02-21,Manufacturing,US,10,139534,12,1
INV00232,1001,59876,2023-08-09,2023-09-08,7,2023-09-15,Manufacturing,US,4,110799,10,1
INV00233,1052,24704,2023-11-06,2023-12-06,8,2023-12-14,SaaS,UK,4,117095,7,1
INV00234,1043,58857,2023-03-27,2023-04-26,-2,2023-04-24,Manufacturing,UK,0,101202,40,0
INV00235,1089,6622,2023-06-26,2023-07-26,9,2023-08-04,Healthcare,Germany,2,55479,11,1
INV00236,1031,84797,2023-09-16,2023-10-16,23,2023-11-08,Manufacturing,Germany,14,12449,16,1
INV00237,1069,94955,2023-08-08,2023-09-07,12,2023-09-19,Manufacturing,Germany,7,194110,33,1
INV00238,1031,92141,2023-02-07,2023-03-09,13,2023-03-22,Retail,India,14,196832,38,1
INV00239,1067,95707,2023-05-22,2023-06-21,15,2023-07-06,Manufacturing,US,9,50190,17,1
INV00240,1054,88700,2023-08-23,2023-09-22,2,2023-09-24,Manufacturing,Germany,1,166235,45,1
INV00241,1074,80332,2023-07-22,2023-08-21,15,2023-09-05,Manufacturing,Germany,12,184314,25,1
INV00242,1055,97856,2023-11-25,2023-12-25,7,2024-01-01,Healthcare,US,7,37953,42,1
INV00243,1016,67201,2023-10-21,2023-11-20,6,2023-11-26,SaaS,UK,3,44799,31,1
INV00244,1037,33694,2023-06-21,2023-07-21,10,2023-07-31,Retail,Germany,6,17288,42,1
INV00245,1023,90766,2023-05-05,2023-06-04,14,2023-06-18,Retail,Germany,5,163545,1,1
INV00246,1068,23995,2023-11-22,2023-12-22,14,2024-01-05,Manufacturing,Germany,8,163663,39,1
INV00247,1097,93320,2023-03-06,2023-04-05,20,2023-04-25,Manufacturing,Germany,14,164463,20,1
INV00248,1069,81141,2023-10-08,2023-11-07,7,2023-11-14,SaaS,US,7,14877,9,1
INV00249,1085,83999,2023-09-29,2023-10-29,11,2023-11-09,Manufacturing,US,10,78127,43,1
INV00250,1010,9419,2023-09-01,2023-10-01,20,2023-10-21,Healthcare,US,13,106053,2,1
INV00251,1015,48952,2023-01-15,2023-02-14,8,2023-02-22,SaaS,UK,9,132245,1,1
INV00252,1096,34837,2023-08-14,2023-09-13,7,2023-09-20,Manufacturing,Germany,6,93482,44,1
INV00253,1072,71799,2023-05-11,2023-06-10,7,2023-06-17,SaaS,UK,3,57550,39,1
INV00254,1058,49877,2023-07-14,2023-08-13,5,2023-08-18,Retail,UK,6,111364,5,1
INV00255,1069,46687,2023-10-20,2023-11-19,16,2023-12-05,Manufacturing,US,7,146566,12,1
INV00256,1079,38276,2023-07-28,2023-08-27,7,2023-09-03,SaaS,Germany,6,5078,14,1
INV00257,1092,35523,2023-04-23,2023-05-23,17,2023-06-09,SaaS,Germany,11,82674,39,1
INV00258,1002,67055,2023-09-01,2023-10-01,10,2023-10-11,Manufacturing,UK,13,88041,32,1
INV00259,1019,55615,2023-06-15,2023-07-15,1,2023-07-16,SaaS,India,3,106525,40,1
INV00260,1058,97642,2023-07-10,2023-08-09,5,2023-08-14,Manufacturing,India,6,13977,46,1
INV00261,1035,11514,2023-09-14,2023-10-14,4,2023-10-18,Manufacturing,Germany,7,122549,44,1
INV00262,1018,48456,2023-11-23,2023-12-23,19,2024-01-11,Healthcare,Germany,10,37593,9,1
INV00263,1089,8233,2023-08-06,2023-09-05,9,2023-09-14,Healthcare,UK,2,138795,42,1
INV00264,1066,2102,2023-12-25,2024-01-24,15,2024-02-08,SaaS,UK,7,14773,42,1
INV00265,1018,67133,2023-10-02,2023-11-01,17,2023-11-18,SaaS,US,10,185582,33,1
INV00266,1019,47715,2023-02-21,2023-03-23,8,2023-03-31,SaaS,UK,3,169644,25,1
INV00267,1095,86193,2023-06-07,2023-07-07,18,2023-07-25,Retail,UK,13,89650,38,1
INV00268,1070,7256,2023-12-29,2024-01-28,10,2024-02-07,Manufacturing,India,9,174831,14,1
